station_id,station_name,source_scope,event_id,threshold_ug_l,start_date,end_date,duration_days,observation_count,peak_date,peak_chl_a
la_poza,La Poza,observed_direct,la_poza_observed_direct_001,10.0,2022-11-07,2022-11-13,7,7,2022-11-07,17.786
la_poza,La Poza,observed_direct,la_poza_observed_direct_002,10.0,2023-05-06,2023-05-11,6,6,2023-05-10,53.971
la_poza,La Poza,observed_direct,la_poza_observed_direct_003,10.0,2023-05-13,2023-05-15,3,3,2023-05-15,54.163
la_poza,La Poza,observed_direct,la_poza_observed_direct_004,10.0,2023-05-17,2023-05-17,1,1,2023-05-17,60.95
la_poza,La Poza,processed_model_series,la_poza_processed_model_series_001,10.0,2022-11-07,2022-11-13,7,7,2022-11-07,17.786
la_poza,La Poza,processed_model_series,la_poza_processed_model_series_002,10.0,2023-05-06,2023-05-17,12,12,2023-05-17,60.95
la_poza,La Poza,processed_model_series,la_poza_processed_model_series_003,10.0,2024-11-06,2024-11-06,1,1,2024-11-06,10.263000000000002
pucon,Pucón,observed_direct,pucon_observed_direct_001,10.0,2021-11-28,2021-11-30,3,3,2021-11-29,12.254
pucon,Pucón,observed_direct,pucon_observed_direct_002,10.0,2022-01-03,2022-01-03,1,1,2022-01-03,41.2
pucon,Pucón,observed_direct,pucon_observed_direct_003,10.0,2022-02-14,2022-02-14,1,1,2022-02-14,10.071
pucon,Pucón,observed_direct,pucon_observed_direct_004,10.0,2022-02-17,2022-02-28,12,12,2022-02-26,33.537
pucon,Pucón,observed_direct,pucon_observed_direct_005,10.0,2022-07-11,2022-07-11,1,1,2022-07-11,17.786
pucon,Pucón,observed_direct,pucon_observed_direct_006,10.0,2022-08-11,2022-08-11,1,1,2022-08-11,13.526
pucon,Pucón,observed_direct,pucon_observed_direct_007,10.0,2022-09-11,2022-09-11,1,1,2022-09-11,13.489
pucon,Pucón,observed_direct,pucon_observed_direct_008,10.0,2022-10-11,2022-10-11,1,1,2022-10-11,16.357
pucon,Pucón,observed_direct,pucon_observed_direct_009,10.0,2022-11-11,2022-11-11,1,1,2022-11-11,14.898
pucon,Pucón,observed_direct,pucon_observed_direct_010,10.0,2022-11-13,2022-11-13,1,1,2022-11-13,12.941
pucon,Pucón,observed_direct,pucon_observed_direct_011,10.0,2022-12-11,2022-12-11,1,1,2022-12-11,11.752
pucon,Pucón,observed_direct,pucon_observed_direct_012,10.0,2023-01-04,2023-01-05,2,2,2023-01-04,44.033
pucon,Pucón,observed_direct,pucon_observed_direct_013,10.0,2023-02-04,2023-02-05,2,2,2023-02-04,38.046
pucon,Pucón,observed_direct,pucon_observed_direct_014,10.0,2023-02-17,2023-02-19,3,3,2023-02-19,19.763
pucon,Pucón,observed_direct,pucon_observed_direct_015,10.0,2023-02-21,2023-02-23,3,3,2023-02-21,14.811
pucon,Pucón,observed_direct,pucon_observed_direct_016,10.0,2023-03-04,2023-03-05,2,2,2023-03-04,39.4
pucon,Pucón,observed_direct,pucon_observed_direct_017,10.0,2023-03-14,2023-03-16,3,3,2023-03-15,15.9
pucon,Pucón,observed_direct,pucon_observed_direct_018,10.0,2023-03-18,2023-03-31,14,14,2023-03-31,39.006
pucon,Pucón,observed_direct,pucon_observed_direct_019,10.0,2023-04-04,2023-04-05,2,2,2023-04-04,43.625
